episode,steps,reward_0,reward_1,reward_2,collisions_0,collisions_1,collisions_2
131,5,-20.348695612934073,-0.3486956129340732,-0.42619383346200096,0.0,0.0,0.0
132,36,-2.9248185117734842,-0.14704073399570627,0.16463003570007975,0.0,0.0,0.0
133,62,-0.27200874987986462,-0.27200874987986462,-1.4023826211240482,0.0,0.0,0.0
134,1,-100.35413315107593,-0.35413315107592236,0.09545944606236148,0.0,0.0,0.0
135,48,-0.22793373607413181,-0.22793373607413181,-2.1287890417836448,0.0,0.0,0.0
136,9,-0.24614766125849435,-11.357258772369606,-11.213787283283995,0.0,0.0,0.0
137,4,-0.27820454751734386,-0.27820454751734386,-26.060285374360159,0.0,0.0,0.0
138,4,-0.25087848938691604,-25.250878489386917,0.27052470318183197,0.0,0.0,0.0
139,16,-0.20021793833090948,-0.20021793833090948,-6.4195739016979481,0.0,0.0,0.0
140,15,-0.29256176462528777,-0.29256176462528777,-6.6432853944747432,0.0,0.0,0.0
141,19,-0.28728139315745305,-5.550439287894295,0.015228196265821324,0.0,0.0,0.0
142,4,-0.35179130501672573,-0.35179130501672573,-27.23687217615338,0.0,0.0,0.0
143,21,-0.27315474837626064,-0.27315474837626064,-4.8422139328311307,0.0,0.0,0.0
144,1,-0.16938868327044257,-100.16938868327044,0.19656201659292163,0.0,0.0,0.0
145,13,-0.16995969266919195,7.5223479996384999,-7.5708712140426604,1.0,0.0,1.0
146,57,-0.20883221624072407,-0.20883221624072407,-1.563732515855496,0.0,0.0,0.0
147,1,-0.24132871343982862,-0.24132871343982862,-101.79920957122172,0.0,0.0,0.0
148,2,-50.169753703552487,-0.16975370355248587,0.19651878985193871,0.0,0.0,0.0
149,9,-11.306849270036871,-0.19573815892575888,0.21424367004049738,0.0,0.0,0.0
150,18,-5.8320711920246282,-0.27651563646907262,0.27006175680039324,0.0,0.0,0.0
151,40,-0.20342838177700995,-0.20342838177700995,-2.5394305672984299,0.0,0.0,0.0
152,38,-0.21951215418743042,-0.21951215418743042,-2.470296903677887,0.0,0.0,0.0
153,56,-0.21489139751103489,-0.21489139751103489,-0.98865567757031414,0.0,0.0,0.0
154,21,-0.084159658951449542,-4.8460644208562114,-0.056628610877488009,0.0,0.0,0.0
155,9,-0.24959836466031129,-0.24959836466031129,-11.473757013920585,0.0,0.0,0.0
156,20,-5.1818704867646641,-0.18187048676466361,0.21960640771421583,0.0,0.0,0.0
157,8,-0.20078416553186074,-0.20078416553186074,-12.65826055290896,0.0,0.0,0.0
158,83,1.0997173370704851,1.0997173370704851,-1.8540924906942284,0.0,1.0,1.0
159,17,-6.0174201174792081,-0.13506717630273743,0.16390110705828612,0.0,0.0,0.0
160,34,-0.24061529166199916,-0.24061529166199916,-3.1073200998477599,0.0,0.0,0.0
161,15,-6.9668446393441474,-0.30017797267748086,0.37187371573745975,0.0,0.0,0.0
162,5,-0.19015412326674583,-20.190154123266744,0.20098255545751748,0.0,0.0,0.0
163,17,-6.0621822398757255,-0.17982929869925554,0.1952255252131837,0.0,0.0,0.0
164,45,-2.3863474439899206,-0.16412522176769839,0.19299955934181368,0.0,0.0,0.0
165,6,-16.996318212291488,-0.32965154562481919,0.35060808437550611,0.0,0.0,0.0
166,15,-0.17636436753181056,-0.17636436753181056,-4.0153985272806691,0.0,0.0,0.0
167,2,-0.20764252704574646,-50.207642527045749,0.22587025088986371,0.0,0.0,0.0
168,12,-0.27712927723905478,-0.27712927723905478,-8.3446291739503753,0.0,0.0,0.0
169,14,-0.30856302801869778,-0.30856302801869778,-7.0192610861417668,0.0,0.0,0.0
170,16,-0.26682781996235627,-6.5168278199623559,0.27962271194696142,0.0,0.0,0.0
171,26,-4.0557162281257879,-0.20956238197194216,0.25371919181636449,0.0,0.0,0.0
172,10,-0.074998848079396635,-10.074998848079398,0.05717442549974542,0.0,0.0,0.0
173,9,-11.252416973623861,-0.14130586251275024,0.15361561194866413,0.0,0.0,0.0
174,5,-20.376597743984057,-0.37659774398405527,0.41004711455453985,0.0,0.0,0.0
175,5,-0.1622254927917951,-0.1622254927917951,-20.491020202964354,0.0,0.0,0.0
176,1,-0.35197226532899839,-0.35197226532899839,-101.65206953068888,0.0,0.0,0.0
177,66,-0.11776930476024405,-0.11776930476024405,-1.421050952718788,0.0,0.0,0.0
178,15,-0.31652845787972222,-0.31652845787972222,-7.0692961510974897,0.0,0.0,0.0
179,41,-0.19258327189738461,-0.19258327189738461,-2.3214774202888209,0.0,0.0,0.0
180,31,-0.23478018675872722,-0.23478018675872722,-3.5770319978868348,0.0,0.0,0.0
181,5,-20.286644400832191,-0.28664440083218967,0.30346625875016642,0.0,0.0,0.0
182,11,-0.25997224959254417,-0.25997224959254417,-9.8141383476173303,0.0,0.0,0.0
183,36,2.6691763671308184,5.4469541449085961,-4.3242957133259337,0.0,2.0,2.0
184,63,-1.7376792542680586,-0.1503776669664712,0.80475540051350902,0.0,0.0,0.0
185,26,-3.9782334054957298,-0.13207955934188395,0.16382685742020545,0.0,0.0,0.0
186,27,-0.23471884778852475,-3.9384225514922284,1.7362042615395783,0.0,0.0,0.0
